statement,label
"If something is a salmon, then it is a fish.",1
"If something is a frog, then it is a bird.",0
"If something is a lobster, then it is a crustacean.",1
"If something is a raccoon, then it is a mammal.",1
"If something is a horse, then it is a mammal.",1
"If something is a giant anteater, then it is a fish.",0
"If something is a aardvark, then it is a fish.",0
"If something is a hummingbird, then it is a bird.",1
"If something is a armadillo, then it is a mammal.",1
"If something is a bee, then it is a bird.",0
"If something is a gorilla, then it is a mammal.",1
"If something is a cheetah, then it is a mammal.",1
"If something is a zebra, then it is a mammal.",1
"If something is a tapir, then it is a mammal.",1
"If something is a rabbit, then it is a mammal.",1
"If something is a platypus, then it is a bird.",0
"If something is a moose, then it is a bird.",0
"If something is a kangaroo, then it is a crustacean.",0
"If something is a camel, then it is a amphibian.",0
"If something is a lion, then it is a mammal.",1
"If something is a deer, then it is a mammal.",1
"If something is a penguin, then it is a bird.",1
"If something is a seahorse, then it is a fish.",1
"If something is a chicken, then it is a bird.",1
"If something is a mongoose, then it is a bird.",0
"If something is a cassowary, then it is a bird.",1
"If something is a goat, then it is a bird.",0
"If something is a tuna, then it is a mammal.",0
"If something is a swan, then it is a bird.",1
"If something is a peacock, then it is a bird.",1
"If something is a walrus, then it is a mollusk.",0
"If something is a seagull, then it is a bird.",1
"If something is a cow, then it is a mammal.",1
"If something is a flamingo, then it is a bird.",1
"If something is a sparrow, then it is a mammal.",0
"If something is a panda, then it is a bird.",0
"If something is a aardvark, then it is a mammal.",1
"If something is a slug, then it is a mammal.",0
"If something is a horse, then it is a mollusk.",0
"If something is a rabbit, then it is a bird.",0
"If something is a tarantula, then it is a arachnid.",1
"If something is a rat, then it is a bird.",0
"If something is a slug, then it is a mollusk.",1
"If something is a hippopotamus, then it is a reptile.",0
"If something is a porcupine, then it is a mammal.",1
"If something is a sea turtle, then it is a fish.",0
"If something is a manta ray, then it is a mammal.",0
"If something is a parrot, then it is a bird.",1
"If something is a parrot, then it is a mammal.",0
"If something is a deer, then it is a bird.",0
"If something is a cow, then it is a bird.",0
"If something is a salmon, then it is a reptile.",0
"If something is a chimpanzee, then it is a fish.",0
"If something is a skunk, then it is a mammal.",1
"If something is a axolotl, then it is a reptile.",0
"If something is a frog, then it is a amphibian.",1
"If something is a camel, then it is a mammal.",1
"If something is a goldfish, then it is a mammal.",0
"If something is a penguin, then it is a mammal.",0
"If something is a armadillo, then it is a reptile.",0
"If something is a koala, then it is a mammal.",1
"If something is a lion, then it is a bird.",0
"If something is a bat, then it is a mammal.",1
"If something is a eagle, then it is a mammal.",0
"If something is a beaver, then it is a mammal.",1
"If something is a gecko, then it is a reptile.",1
"If something is a dolphin, then it is a crustacean.",0
"If something is a elephant, then it is a mammal.",1
"If something is a crocodile, then it is a mammal.",0
"If something is a peacock, then it is a mammal.",0
"If something is a otter, then it is a fish.",0
"If something is a cheetah, then it is a insect.",0
"If something is a hyena, then it is a bird.",0
"If something is a tarantula, then it is a insect.",0
"If something is a squirrel, then it is a mammal.",1
"If something is a chimpanzee, then it is a mammal.",1
"If something is a rat, then it is a mammal.",1
"If something is a hedgehog, then it is a mammal.",1
"If something is a cat, then it is a mammal.",1
"If something is a hyena, then it is a mammal.",1
