statement,label
"If an element is Thallium, then its symbol is Tl.",1
"If an element is Barium, then its symbol is Sb.",0
"If an element is Tantalum, then its symbol is Ta.",1
"If an element is Beryllium, then its symbol is Be.",1
"If an element is Yttrium, then its symbol is U.",0
"If an element is Krypton, then its symbol is Kr.",1
"If an element is Molybdenum, then its symbol is Np.",0
"If an element is Strontium, then its symbol is Sn.",0
"If an element is Rubidium, then its symbol is Rb.",1
"If an element is Titanium, then its symbol is Ti.",1
"If an element is Strontium, then its symbol is Sr.",1
"If an element is Mercury, then its symbol is Cl.",0
"If an element is Xenon, then its symbol is Xe.",1
"If an element is Uranium, then its symbol is Re.",0
"If an element is Indium, then its symbol is As.",0
"If an element is Gallium, then its symbol is Ga.",1
"If an element is Europium, then its symbol is Eu.",1
"If an element is Chlorine, then its symbol is Cl.",1
"If an element is Palladium, then its symbol is Nd.",0
"If an element is Rubidium, then its symbol is Kr.",0
"If an element is Zinc, then its symbol is Fr.",0
"If an element is Sodium, then its symbol is Lu.",0
"If an element is Francium, then its symbol is Fr.",1
"If an element is Selenium, then its symbol is Se.",1
"If an element is Silver, then its symbol is Ag.",1
"If an element is Potassium, then its symbol is Al.",0
"If an element is Neon, then its symbol is Ne.",1
"If an element is Palladium, then its symbol is Pd.",1
"If an element is Sulfur, then its symbol is S.",1
"If an element is Antimony, then its symbol is Al.",0
"If an element is Polonium, then its symbol is Tb.",0
"If an element is Hafnium, then its symbol is Hf.",1
"If an element is Gold, then its symbol is Cr.",0
"If an element is Chlorine, then its symbol is Cr.",0
"If an element is Iridium, then its symbol is Ir.",1
"If an element is Francium, then its symbol is Tl.",0
"If an element is Actinium, then its symbol is Ac.",1
"If an element is Gold, then its symbol is Au.",1
"If an element is Beryllium, then its symbol is As.",0
"If an element is Rhenium, then its symbol is Tm.",0
"If an element is Erbium, then its symbol is Pr.",0
"If an element is Cadmium, then its symbol is Cd.",1
"If an element is Actinium, then its symbol is Ar.",0
"If an element is Osmium, then its symbol is Os.",1
"If an element is Neptunium, then its symbol is Np.",1
"If an element is Cerium, then its symbol is Ne.",0
"If an element is Potassium, then its symbol is K.",1
"If an element is Bromine, then its symbol is Br.",1
"If an element is Arsenic, then its symbol is Re.",0
"If an element is Thorium, then its symbol is Se.",0
"If an element is Calcium, then its symbol is Ca.",1
"If an element is Zirconium, then its symbol is Zr.",1
"If an element is Dysprosium, then its symbol is U.",0
"If an element is Boron, then its symbol is B.",1
"If an element is Silver, then its symbol is Sb.",0
"If an element is Phosphorus, then its symbol is P.",1
"If an element is Xenon, then its symbol is F.",0
"If an element is Lutetium, then its symbol is Lu.",1
"If an element is Phosphorus, then its symbol is Zn.",0
"If an element is Fluorine, then its symbol is N.",0
"If an element is Magnesium, then its symbol is Mg.",1
"If an element is Neon, then its symbol is Lu.",0
"If an element is Ruthenium, then its symbol is Au.",0
"If an element is Thulium, then its symbol is Tm.",1
"If an element is Holmium, then its symbol is Ho.",1
"If an element is Bromine, then its symbol is Mo.",0
"If an element is Bismuth, then its symbol is Bi.",1
"If an element is Promethium, then its symbol is Pm.",1
"If an element is Rhodium, then its symbol is Rh.",1
"If an element is Niobium, then its symbol is Nb.",1
"If an element is Selenium, then its symbol is Na.",0
"If an element is Aluminum, then its symbol is Sc.",0
"If an element is Ytterbium, then its symbol is Mo.",0
"If an element is Lithium, then its symbol is Sb.",0
"If an element is Iron, then its symbol is Tl.",0
"If an element is Cadmium, then its symbol is Ir.",0
"If an element is Mercury, then its symbol is Hg.",1
"If an element is Oxygen, then its symbol is O.",1
"If an element is Indium, then its symbol is In.",1
"If an element is Carbon, then its symbol is C.",1
"If an element is Lithium, then its symbol is Li.",1
"If an element is Tungsten, then its symbol is Zr.",0
"If an element is Protactinium, then its symbol is Pa.",1
"If an element is Gallium, then its symbol is Cs.",0
"If an element is Manganese, then its symbol is Gd.",0
"If an element is Calcium, then its symbol is P.",0
"If an element is Chromium, then its symbol is Ru.",0
"If an element is Cobalt, then its symbol is Co.",1
"If an element is Cesium, then its symbol is Cs.",1
"If an element is Tungsten, then its symbol is W.",1
"If an element is Sodium, then its symbol is Na.",1
"If an element is Ytterbium, then its symbol is Yb.",1
"If an element is Rhenium, then its symbol is Re.",1
"If an element is Argon, then its symbol is Co.",0
"If an element is Zinc, then its symbol is Zn.",1
"If an element is Uranium, then its symbol is U.",1
"If an element is Ruthenium, then its symbol is Ru.",1
"If an element is Magnesium, then its symbol is Br.",0
"If an element is Iodine, then its symbol is I.",1
"If an element is Zirconium, then its symbol is Eu.",0
"If an element is Rhodium, then its symbol is Sn.",0
"If an element is Bismuth, then its symbol is La.",0
"If an element is Nitrogen, then its symbol is La.",0
"If an element is Oxygen, then its symbol is Ne.",0
"If an element is Lutetium, then its symbol is Be.",0
"If an element is Praseodymium, then its symbol is Sc.",0
"If an element is Germanium, then its symbol is Ge.",1
"If an element is Terbium, then its symbol is Tb.",1
"If an element is Argon, then its symbol is Ar.",1
"If an element is Scandium, then its symbol is Rn.",0
"If an element is Erbium, then its symbol is Er.",1
"If an element is Chromium, then its symbol is Cr.",1
"If an element is Astatine, then its symbol is At.",1
"If an element is Nickel, then its symbol is Ni.",1
"If an element is Praseodymium, then its symbol is Pr.",1
"If an element is Yttrium, then its symbol is Y.",1
"If an element is Tellurium, then its symbol is Te.",1
"If an element is Niobium, then its symbol is Rh.",0
"If an element is Neodymium, then its symbol is Ac.",0
"If an element is Fluorine, then its symbol is F.",1
"If an element is Vanadium, then its symbol is V.",1
"If an element is Thallium, then its symbol is Sr.",0
"If an element is Samarium, then its symbol is Pr.",0
"If an element is Hydrogen, then its symbol is Pt.",0
"If an element is Neptunium, then its symbol is Na.",0
"If an element is Platinum, then its symbol is La.",0
"If an element is Tin, then its symbol is Be.",0
"If an element is Thorium, then its symbol is Th.",1
"If an element is Samarium, then its symbol is Sm.",1
"If an element is Hydrogen, then its symbol is H.",1
"If an element is Silicon, then its symbol is Si.",1
"If an element is Barium, then its symbol is Ba.",1
"If an element is Lanthanum, then its symbol is La.",1
"If an element is Cerium, then its symbol is Ce.",1
"If an element is Silicon, then its symbol is Rn.",0
"If an element is Lanthanum, then its symbol is Po.",0
"If an element is Molybdenum, then its symbol is Mo.",1
"If an element is Gadolinium, then its symbol is Hg.",0
"If an element is Hafnium, then its symbol is Nd.",0
"If an element is Arsenic, then its symbol is As.",1
"If an element is Aluminum, then its symbol is Al.",1
