statement,label
"If an element is Thallium, then its symbol is not Tl.",0
"If an element is Barium, then its symbol is not Sb.",1
"If an element is Tantalum, then its symbol is not Ta.",0
"If an element is Beryllium, then its symbol is not Be.",0
"If an element is Yttrium, then its symbol is not U.",1
"If an element is Krypton, then its symbol is not Kr.",0
"If an element is Molybdenum, then its symbol is not Np.",1
"If an element is Strontium, then its symbol is not Sn.",1
"If an element is Rubidium, then its symbol is not Rb.",0
"If an element is Titanium, then its symbol is not Ti.",0
"If an element is Strontium, then its symbol is not Sr.",0
"If an element is Mercury, then its symbol is not Cl.",1
"If an element is Xenon, then its symbol is not Xe.",0
"If an element is Uranium, then its symbol is not Re.",1
"If an element is Indium, then its symbol is not As.",1
"If an element is Gallium, then its symbol is not Ga.",0
"If an element is Europium, then its symbol is not Eu.",0
"If an element is Chlorine, then its symbol is not Cl.",0
"If an element is Palladium, then its symbol is not Nd.",1
"If an element is Rubidium, then its symbol is not Kr.",1
"If an element is Zinc, then its symbol is not Fr.",1
"If an element is Sodium, then its symbol is not Lu.",1
"If an element is Francium, then its symbol is not Fr.",0
"If an element is Selenium, then its symbol is not Se.",0
"If an element is Silver, then its symbol is not Ag.",0
"If an element is Potassium, then its symbol is not Al.",1
"If an element is Neon, then its symbol is not Ne.",0
"If an element is Palladium, then its symbol is not Pd.",0
"If an element is Sulfur, then its symbol is not S.",0
"If an element is Antimony, then its symbol is not Al.",1
"If an element is Polonium, then its symbol is not Tb.",1
"If an element is Hafnium, then its symbol is not Hf.",0
"If an element is Gold, then its symbol is not Cr.",1
"If an element is Chlorine, then its symbol is not Cr.",1
"If an element is Iridium, then its symbol is not Ir.",0
"If an element is Francium, then its symbol is not Tl.",1
"If an element is Actinium, then its symbol is not Ac.",0
"If an element is Gold, then its symbol is not Au.",0
"If an element is Beryllium, then its symbol is not As.",1
"If an element is Rhenium, then its symbol is not Tm.",1
"If an element is Erbium, then its symbol is not Pr.",1
"If an element is Cadmium, then its symbol is not Cd.",0
"If an element is Actinium, then its symbol is not Ar.",1
"If an element is Osmium, then its symbol is not Os.",0
"If an element is Neptunium, then its symbol is not Np.",0
"If an element is Cerium, then its symbol is not Ne.",1
"If an element is Potassium, then its symbol is not K.",0
"If an element is Bromine, then its symbol is not Br.",0
"If an element is Arsenic, then its symbol is not Re.",1
"If an element is Thorium, then its symbol is not Se.",1
"If an element is Calcium, then its symbol is not Ca.",0
"If an element is Zirconium, then its symbol is not Zr.",0
"If an element is Dysprosium, then its symbol is not U.",1
"If an element is Boron, then its symbol is not B.",0
"If an element is Silver, then its symbol is not Sb.",1
"If an element is Phosphorus, then its symbol is not P.",0
"If an element is Xenon, then its symbol is not F.",1
"If an element is Lutetium, then its symbol is not Lu.",0
"If an element is Phosphorus, then its symbol is not Zn.",1
"If an element is Fluorine, then its symbol is not N.",1
"If an element is Magnesium, then its symbol is not Mg.",0
"If an element is Neon, then its symbol is not Lu.",1
"If an element is Ruthenium, then its symbol is not Au.",1
"If an element is Thulium, then its symbol is not Tm.",0
"If an element is Holmium, then its symbol is not Ho.",0
"If an element is Bromine, then its symbol is not Mo.",1
"If an element is Bismuth, then its symbol is not Bi.",0
"If an element is Promethium, then its symbol is not Pm.",0
"If an element is Rhodium, then its symbol is not Rh.",0
"If an element is Niobium, then its symbol is not Nb.",0
"If an element is Selenium, then its symbol is not Na.",1
"If an element is Aluminum, then its symbol is not Sc.",1
"If an element is Ytterbium, then its symbol is not Mo.",1
"If an element is Lithium, then its symbol is not Sb.",1
"If an element is Iron, then its symbol is not Tl.",1
