statement,label
"If a person is Edwin Herbert Hall, then they lived in the U.",1
"If a person is Emile Berliner, then they lived in Russia.",0
"If a person is Frederick Walton, then they lived in the U.",0
"If a person is William Congreve, then they lived in Canada.",0
"If a person is Gustaf Dalén, then they lived in Sweden.",1
"If a person is Evangelista Torricelli, then they lived in the U.",0
"If a person is George Pullman, then they lived in the U.",0
"If a person is Marvin Camras, then they lived in France.",0
"If a person is William Sturgeon, then they lived in the U.",1
"If a person is Frederick Walton, then they lived in the U.",1
"If a person is Clarence Birdseye, then they lived in the U.",1
"If a person is Gideon Sundback, then they lived in Sweden/the U.",1
"If a person is John Shepherd-Barron, then they lived in Scotland.",1
"If a person is Edwin Link, then they lived in the U.",0
"If a person is Chester Carlson, then they lived in the U.",0
"If a person is Whitcomb Judson, then they lived in the U.",1
"If a person is Joseph Glidden, then they lived in the U.",1
"If a person is Rudolf Diesel, then they lived in the U.",0
"If a person is Charles Wheatstone, then they lived in France.",0
"If a person is John Callcott Horsley, then they lived in Germany.",0
"If a person is Charles Goodyear, then they lived in the U.",1
"If a person is Lloyd Groff Copeman, then they lived in the U.",1
"If a person is Herbert Akroyd Stuart, then they lived in England.",1
"If a person is Herbert Saffir, then they lived in the U.",0
"If a person is August Horch, then they lived in Russia.",0
"If a person is Joseph Marie Jacquard, then they lived in the Netherlands.",0
"If a person is David Edward Hughes, then they lived in the U.",1
"If a person is Yoshua Bengio, then they lived in Canada.",1
"If a person is Ferdinand Carré, then they lived in the U.",0
"If a person is Rudolf Kálmán, then they lived in Hungary.",1
"If a person is Charles Fritts, then they lived in the U.",1
"If a person is Narinder Singh Kapany, then they lived in India.",1
"If a person is Archimedes, then they lived in Ancient Greece.",1
"If a person is Gottlieb Daimler, then they lived in France.",0
"If a person is Fritz Pfleumer, then they lived in Germany.",1
"If a person is Arthur Fry, then they lived in the U.",1
"If a person is Fridtjof Nansen, then they lived in the U.",0
"If a person is Semyon Kirlian, then they lived in Russia.",1
"If a person is Ignazio Porro, then they lived in Italy.",1
"If a person is Paul Gottlieb Nipkow, then they lived in Denmark.",0
"If a person is Edwin H. Land, then they lived in Sweden.",0
"If a person is Lester Wire, then they lived in the U.",1
"If a person is László Bíró, then they lived in Hungary.",1
"If a person is George Eastman, then they lived in the U.",0
"If a person is Galileo Galilei, then they lived in Italy.",1
"If a person is John Atanasoff, then they lived in the U.",1
"If a person is Benjamin Franklin, then they lived in the U.",1
"If a person is Sir Sandford Fleming, then they lived in Canada.",1
"If a person is Robert Moog, then they lived in the U.",1
"If a person is George Washington Carver, then they lived in the U.",1
"If a person is James Clerk Maxwell, then they lived in the U.",0
"If a person is Hans Lippershey, then they lived in the U.",0
"If a person is Fridtjof Nansen, then they lived in Norway.",1
"If a person is Sir Sandford Fleming, then they lived in the U.",0
"If a person is Willis Carrier, then they lived in the U.",1
"If a person is Joseph-Armand Bombardier, then they lived in Canada.",1
"If a person is Earle Dickson, then they lived in the U.",1
"If a person is Luther George Simjian, then they lived in Turkey/the U.",1
"If a person is Herbert Saffir, then they lived in the U.",1
"If a person is Ignazio Porro, then they lived in the U.",0
"If a person is Wallace Carothers, then they lived in the U.",1
"If a person is John Wesley Hyatt, then they lived in the U.",1
"If a person is James Dyson, then they lived in the U.",1
"If a person is Candace Pert, then they lived in the U.",1
"If a person is David Schwarz, then they lived in France.",0
"If a person is Walter Hunt, then they lived in the U.",1
"If a person is Samuel Morse, then they lived in Germany.",0
"If a person is Yvonne Brill, then they lived in Canada.",1
"If a person is Guglielmo Marconi, then they lived in the U.",0
"If a person is Shinya Yamanaka, then they lived in Germany.",0
"If a person is Carl Sontheimer, then they lived in Switzerland.",0
"If a person is Sergey Brin and Larry Page, then they lived in the U.",0
"If a person is Percy Spencer, then they lived in the U.",1
"If a person is Henry Bessemer, then they lived in the U.",1
"If a person is Ruth Handler, then they lived in the Netherlands.",0
"If a person is Richard Leach Maddox, then they lived in the U.",1
"If a person is Alfred Nobel, then they lived in the U.",0
"If a person is Thomas Wedgwood, then they lived in the U.",1
"If a person is Frank Bunker Gilbreth, then they lived in the U.",1
"If a person is Benjamin Holt, then they lived in the U.",1
"If a person is Josephine Cochrane, then they lived in Germany.",0
"If a person is Godfrey Hounsfield, then they lived in Denmark.",0
"If a person is Antoine Lavoisier, then they lived in France.",1
"If a person is Carlos Glidden, then they lived in Scotland.",0
