statement,label
"If a person is Edwin Herbert Hall, then they did not live in the U.",0
"If a person is Emile Berliner, then they did not live in Russia.",1
"If a person is Frederick Walton, then they did not live in the U.",1
"If a person is William Congreve, then they did not live in Canada.",1
"If a person is Gustaf Dalén, then they did not live in Sweden.",0
"If a person is Evangelista Torricelli, then they did not live in the U.",1
"If a person is George Pullman, then they did not live in the U.",1
"If a person is Marvin Camras, then they did not live in France.",1
"If a person is William Sturgeon, then they did not live in the U.",0
"If a person is Frederick Walton, then they did not live in the U.",0
"If a person is Clarence Birdseye, then they did not live in the U.",0
"If a person is Gideon Sundback, then they did not live in Sweden/the U.",0
"If a person is John Shepherd-Barron, then they did not live in Scotland.",0
"If a person is Edwin Link, then they did not live in the U.",1
"If a person is Chester Carlson, then they did not live in the U.",1
"If a person is Whitcomb Judson, then they did not live in the U.",0
"If a person is Joseph Glidden, then they did not live in the U.",0
"If a person is Rudolf Diesel, then they did not live in the U.",1
"If a person is Charles Wheatstone, then they did not live in France.",1
"If a person is John Callcott Horsley, then they did not live in Germany.",1
"If a person is Charles Goodyear, then they did not live in the U.",0
"If a person is Lloyd Groff Copeman, then they did not live in the U.",0
"If a person is Herbert Akroyd Stuart, then they did not live in England.",0
"If a person is Herbert Saffir, then they did not live in the U.",1
"If a person is August Horch, then they did not live in Russia.",1
"If a person is Joseph Marie Jacquard, then they did not live in the Netherlands.",1
"If a person is David Edward Hughes, then they did not live in the U.",0
"If a person is Yoshua Bengio, then they did not live in Canada.",0
"If a person is Ferdinand Carré, then they did not live in the U.",1
"If a person is Rudolf Kálmán, then they did not live in Hungary.",0
"If a person is Charles Fritts, then they did not live in the U.",0
"If a person is Narinder Singh Kapany, then they did not live in India.",0
"If a person is Archimedes, then they did not live in Ancient Greece.",0
"If a person is Gottlieb Daimler, then they did not live in France.",1
"If a person is Fritz Pfleumer, then they did not live in Germany.",0
"If a person is Arthur Fry, then they did not live in the U.",0
"If a person is Fridtjof Nansen, then they did not live in the U.",1
"If a person is Semyon Kirlian, then they did not live in Russia.",0
"If a person is Ignazio Porro, then they did not live in Italy.",0
"If a person is Paul Gottlieb Nipkow, then they did not live in Denmark.",1
"If a person is Edwin H. Land, then they did not live in Sweden.",1
"If a person is Lester Wire, then they did not live in the U.",0
"If a person is László Bíró, then they did not live in Hungary.",0
"If a person is George Eastman, then they did not live in the U.",1
"If a person is Galileo Galilei, then they did not live in Italy.",0
"If a person is John Atanasoff, then they did not live in the U.",0
"If a person is Benjamin Franklin, then they did not live in the U.",0
"If a person is Sir Sandford Fleming, then they did not live in Canada.",0
